employees,firm_age_years,training,access_finance,exporter,digital_payments,competition_level,sector,sales_annual_usd,labor_productivity_usd_per_employee,successful
8.0,12.0,0.0,1.0,0,0,Baja,Comercio,20210.748914165506,2848.4015604228257,0
12.0,5.0,0.0,1.0,0,0,Baja,Servicios,23252.64591764341,1506.3861915530094,0
18.0,9.0,1.0,0.0,0,1,Baja,Comercio,,1288.4108465925906,0
7.0,12.0,1.0,1.0,0,1,Media,Comercio,39100.20425228604,3254.0213508446864,1
9.0,9.0,0.0,0.0,0,1,Baja,Tecnologia,23001.642368072924,2883.4124488488806,0
5.0,12.0,0.0,0.0,0,1,Baja,Tecnologia,22363.87234585725,5275.61186676769,1
5.0,3.0,0.0,0.0,0,1,Media,Manufactura,10065.620979221923,2426.8020773598428,0
16.0,10.0,0.0,0.0,1,0,Media,Manufactura,35984.69577292022,2037.540198711115,0
23.0,1.0,0.0,1.0,0,1,Media,Comercio,26615.53038201109,1250.1485536698312,1
10.0,8.0,0.0,1.0,0,0,Baja,Comercio,24179.110755133683,3451.7882733489096,1
18.0,4.0,0.0,0.0,0,1,Baja,Manufactura,43856.60218791745,3469.4494612450585,0
12.0,5.0,1.0,1.0,0,0,Alta,Servicios,34114.84500347924,2822.24538040086,0
7.0,16.0,1.0,1.0,0,1,Baja,Tecnologia,42360.95407772301,6266.053948348774,1
12.0,,1.0,0.0,0,1,Alta,Comercio,14326.643795996877,1576.0821923308156,1
25.0,13.0,0.0,1.0,0,1,Alta,Comercio,113941.08498726838,3131.7914459320223,0
10.0,2.0,1.0,0.0,0,0,Media,Comercio,33386.0370658044,3079.550768576007,1
26.0,7.0,1.0,1.0,0,0,Baja,Tecnologia,77780.53336289861,4177.39255777961,1
2.0,16.0,1.0,0.0,0,1,Alta,Servicios,9591.335666729992,6119.700216483401,1
16.0,10.0,1.0,,0,1,,Manufactura,34149.73423331362,2340.774893982705,1
11.0,23.0,1.0,0.0,0,0,Media,Comercio,22936.883039200122,1431.0276948032886,0
8.0,11.0,0.0,1.0,0,1,Media,Servicios,39688.75178665297,4899.5762280069075,0
11.0,10.0,0.0,,0,1,Baja,Manufactura,30594.47356508072,2399.9436750241152,1
3.0,7.0,1.0,0.0,0,0,Baja,Comercio,10036.708975143136,3634.227990757022,0
9.0,10.0,1.0,0.0,0,0,Media,Comercio,16842.445828177264,1528.582734727624,0
12.0,8.0,1.0,1.0,1,1,Media,Servicios,66645.17943958436,4297.550541968435,1
24.0,13.0,0.0,0.0,0,1,Media,Comercio,58361.747758065816,1451.199595020856,1
7.0,,0.0,0.0,0,0,Media,Comercio,26865.786940599708,5209.035106630978,1
6.0,4.0,0.0,0.0,0,1,Media,Comercio,18346.824830479534,2766.9743441451087,1
7.0,1.0,1.0,0.0,0,1,Media,Servicios,16869.69580801374,2506.519560826767,0
17.0,0.0,1.0,1.0,1,0,Alta,Tecnologia,13032.149578190329,766.1682206264511,0
12.0,12.0,0.0,1.0,1,0,Baja,Comercio,41387.2505616507,2641.132342799675,1
7.0,2.0,0.0,0.0,0,1,Media,Manufactura,16631.48363082965,1734.329921536939,1
14.0,0.0,0.0,0.0,0,0,Baja,Comercio,20711.02289069086,1150.5958679438522,0
11.0,11.0,1.0,1.0,0,0,Media,Servicios,31683.861486119644,2403.9664660787207,0
18.0,24.0,1.0,0.0,0,1,Media,Comercio,26829.295411588137,1633.580459493916,0
7.0,9.0,1.0,1.0,0,0,Alta,Comercio,24606.990367181403,2881.154260941817,1
8.0,14.0,0.0,1.0,0,1,Baja,Comercio,37113.988551883565,7179.107449531763,1
8.0,9.0,1.0,1.0,0,1,Alta,Comercio,32186.168554576132,5201.167031632998,1
4.0,8.0,0.0,0.0,0,0,Baja,Comercio,17335.172396917693,5304.38082771864,0
12.0,15.0,1.0,0.0,1,1,,Servicios,47673.941238576925,3855.7423938327197,1
12.0,7.0,0.0,1.0,0,1,Baja,Comercio,27811.69382900906,3384.208684114781,0
10.0,,0.0,0.0,1,1,Alta,Servicios,23203.293371980857,2197.2525159612233,1
9.0,11.0,1.0,0.0,0,1,Media,Servicios,25753.23436689499,2839.1942434663383,0
4.0,5.0,1.0,0.0,0,0,Media,Tecnologia,15566.643379529727,4060.5955654835243,0
8.0,,0.0,1.0,0,0,Alta,Comercio,27940.97971411163,4162.469952237767,1
8.0,8.0,1.0,0.0,0,0,Baja,Comercio,26311.399914950292,3856.6069954090062,1
6.0,4.0,0.0,0.0,0,1,Baja,Comercio,33837.35963920607,5007.9403260830495,0
9.0,12.0,0.0,0.0,0,1,Alta,Manufactura,43247.121018854465,4205.77111844599,0
13.0,4.0,0.0,0.0,1,1,Media,Comercio,26406.326094041247,2383.6429961386357,0
31.0,9.0,0.0,1.0,0,1,Baja,Manufactura,16241.505369387578,626.4990425399592,1
11.0,9.0,0.0,0.0,0,1,Media,Servicios,33576.779493163616,2766.5517456136467,1
12.0,16.0,0.0,0.0,1,0,Media,Tecnologia,26097.385815229773,1462.476865838425,0
10.0,12.0,0.0,1.0,0,0,Baja,Manufactura,23489.834390100754,2230.3390882418416,0
3.0,9.0,1.0,0.0,0,0,Baja,Manufactura,13561.715324752913,5283.136388975991,1
10.0,14.0,0.0,0.0,0,1,Baja,Servicios,22573.170491587767,3544.975232230294,0
10.0,17.0,1.0,0.0,1,0,Media,Servicios,38527.857635739114,2855.6713690992533,1
44.0,12.0,0.0,0.0,1,1,Alta,Servicios,30450.62647078167,622.0555513190849,0
9.0,9.0,1.0,0.0,1,1,Alta,Servicios,18237.214535910476,1838.387435144454,0
12.0,1.0,0.0,0.0,0,0,Media,Manufactura,20513.277544630288,2399.156090742487,0
10.0,3.0,0.0,0.0,1,0,Baja,Servicios,28591.730472622385,2834.3058683721647,1
5.0,7.0,0.0,0.0,0,1,Alta,Servicios,15930.762760980844,2539.5387055371257,1
20.0,5.0,0.0,0.0,0,1,Media,Servicios,,1203.4722392754184,0
16.0,8.0,0.0,0.0,0,1,Baja,Servicios,,1207.2810085952415,1
16.0,9.0,1.0,0.0,0,0,Alta,Servicios,20392.962552629568,938.4781808787981,0
6.0,12.0,1.0,1.0,1,1,Media,Manufactura,40546.55281814767,5405.937952432049,1
23.0,9.0,1.0,0.0,1,0,Media,Comercio,66161.01597658558,4437.573329537213,1
4.0,12.0,1.0,0.0,0,1,Media,Servicios,,2331.6834143423366,1
14.0,9.0,0.0,0.0,0,1,Baja,Comercio,25189.248752807423,1848.3622023117139,0
37.0,0.0,0.0,0.0,0,1,Baja,Comercio,24203.07411180588,614.5212976408496,0
6.0,3.0,0.0,0.0,1,1,Media,Servicios,10157.479858152738,1821.1863096316051,0
7.0,8.0,0.0,0.0,0,1,Baja,Comercio,26532.553016196514,4065.436967317977,1
11.0,2.0,0.0,1.0,0,0,Media,Comercio,24917.290983332226,2436.856560175155,0
7.0,13.0,0.0,0.0,0,0,Alta,Comercio,,2316.460613262645,0
4.0,18.0,0.0,1.0,0,0,Alta,Comercio,,6453.998364486863,1
10.0,16.0,0.0,0.0,0,0,Media,Servicios,16965.561702679952,1706.3839812792364,0
5.0,8.0,1.0,0.0,1,0,Alta,Tecnologia,,2602.224554389338,0
13.0,18.0,1.0,0.0,0,0,Alta,Manufactura,59903.32232809376,3953.7989964968365,0
6.0,,0.0,,0,0,Media,Manufactura,13959.990739961062,1418.6153516347604,0
25.0,7.0,1.0,0.0,0,1,Baja,Servicios,58997.4401985125,3916.9861180093935,1
6.0,5.0,1.0,1.0,0,1,Baja,Tecnologia,32613.582487909945,6744.032373948385,1
8.0,7.0,0.0,0.0,1,1,Media,Manufactura,12677.487123955378,1287.7140440747896,0
16.0,7.0,0.0,1.0,0,1,Baja,Manufactura,20715.70087050892,1206.6428197416947,1
5.0,10.0,0.0,1.0,0,1,Baja,Servicios,19011.95424506415,3242.7149327343245,0
11.0,10.0,1.0,0.0,0,0,Baja,Manufactura,42038.20368923147,5619.9363967142,0
22.0,9.0,1.0,0.0,0,1,Media,Tecnologia,57666.05043080143,1837.9611289937511,1
4.0,12.0,0.0,0.0,0,1,Alta,Comercio,16500.0362906101,4244.768289418565,0
11.0,16.0,0.0,0.0,0,1,Baja,Comercio,19326.500089842524,1709.925807820722,0
12.0,15.0,0.0,0.0,0,1,Media,Tecnologia,51342.67302104623,5261.021698014022,1
16.0,0.0,0.0,,0,1,Media,Comercio,15222.877654860851,927.0093529477508,0
5.0,0.0,0.0,0.0,0,1,Baja,Comercio,15062.390908384754,1941.0146213032378,1
5.0,15.0,1.0,0.0,0,1,Alta,Comercio,17014.89484205622,3195.909645968623,0
14.0,1.0,1.0,1.0,0,1,Media,Tecnologia,37293.40474447854,2089.0692052008353,0
12.0,8.0,1.0,1.0,0,0,Media,Servicios,49179.36456098691,4180.631672223352,0
12.0,2.0,1.0,1.0,1,0,Media,Comercio,25589.39954772402,3052.0570164201886,0
12.0,0.0,1.0,0.0,1,1,Baja,Comercio,20299.678086670716,1095.0960401002485,0
7.0,12.0,0.0,0.0,0,1,Media,Manufactura,20064.177058829904,2346.606298755328,0
11.0,14.0,1.0,0.0,0,1,Baja,Comercio,27966.406482676462,2214.2981924560363,1
12.0,6.0,0.0,0.0,0,0,Alta,Manufactura,57572.8377305218,4361.152972602022,0
6.0,0.0,1.0,0.0,0,1,Media,Tecnologia,24514.69956191323,4916.244207612041,0
31.0,6.0,0.0,1.0,1,1,Media,Servicios,50558.458772300735,1561.6718675460281,0
13.0,11.0,1.0,1.0,0,0,Baja,Comercio,25844.22581021912,2205.7961887546408,1
5.0,0.0,0.0,0.0,0,1,Media,Servicios,6550.959224373902,1120.449912268941,0
15.0,10.0,,0.0,1,1,Media,Servicios,22608.859398400178,1596.434529390296,0
6.0,9.0,0.0,0.0,1,1,Media,Comercio,19979.863135342406,4044.730252373564,1
16.0,12.0,0.0,0.0,0,0,Media,Manufactura,42354.60230635181,2204.307671975334,1
20.0,10.0,1.0,0.0,0,0,Media,Manufactura,50366.348400248906,3061.5781490401555,1
6.0,3.0,1.0,0.0,0,0,Alta,Servicios,14536.729187375662,2454.7188100491444,0
18.0,16.0,0.0,0.0,0,1,Media,Servicios,28405.34911534446,2049.448594728412,1
13.0,8.0,0.0,1.0,1,1,Alta,Comercio,35580.956930308326,2602.5877657506444,0
16.0,9.0,0.0,0.0,1,0,Alta,Comercio,19707.292819634804,1354.8777145302104,0
31.0,3.0,0.0,1.0,0,0,Media,Servicios,68980.70763953822,2202.7093021590053,0
9.0,6.0,0.0,0.0,0,1,Baja,Manufactura,21986.968978706245,2384.9360626600023,1
6.0,4.0,1.0,,1,0,Media,Manufactura,20171.62779770727,3586.7632367242118,0
6.0,8.0,0.0,0.0,0,1,Alta,Comercio,6177.7705517634395,1177.5074246446109,0
6.0,19.0,0.0,0.0,0,1,Baja,Manufactura,22784.78769034717,2778.586678794567,0
10.0,1.0,0.0,0.0,0,0,Media,Servicios,20529.370525233866,2937.8554563162384,0
12.0,0.0,0.0,1.0,0,1,Alta,Manufactura,16932.992972383396,886.4252793555461,1
12.0,18.0,0.0,1.0,0,0,Media,Comercio,22069.901353512825,1549.7677381163223,1
16.0,8.0,1.0,0.0,0,1,Media,Servicios,41760.9175975993,2549.2646028146505,0
10.0,5.0,0.0,0.0,0,1,Baja,Manufactura,14501.572514550127,1607.6299153193079,0
24.0,15.0,0.0,1.0,0,0,Baja,Comercio,65552.85588727675,4050.523284909088,0
9.0,5.0,0.0,0.0,0,0,Alta,Manufactura,12458.662456464705,869.8962835169015,0
51.0,20.0,0.0,0.0,0,1,Baja,Servicios,60305.896743857804,1041.5195205228056,1
15.0,13.0,0.0,0.0,0,1,Baja,Servicios,21494.800667203857,842.0233811015095,0
6.0,6.0,1.0,1.0,1,0,Alta,Servicios,26650.59546189185,4477.019426366213,0
5.0,22.0,1.0,1.0,0,1,Media,Comercio,68351.78127093577,14631.11766514724,1
13.0,5.0,0.0,0.0,0,0,Alta,Comercio,20847.83875666656,2386.9105293788275,1
9.0,13.0,0.0,1.0,0,0,Alta,Servicios,15645.239422970459,1791.5851620688302,0
15.0,11.0,0.0,1.0,0,1,Baja,Comercio,57548.94039937729,4980.806393981272,0
13.0,17.0,0.0,0.0,0,1,Baja,Comercio,27082.51756007341,2410.6545886078025,0
10.0,18.0,1.0,0.0,0,1,Media,Comercio,45885.85339027216,4115.497484939341,1
6.0,9.0,1.0,0.0,0,0,Media,Comercio,21260.099302333067,2491.3690728489964,0
4.0,4.0,0.0,1.0,0,1,Baja,Manufactura,7310.678042568654,1957.7429202908738,1
8.0,12.0,0.0,0.0,0,1,Media,Comercio,13135.130613526617,1130.6846351275738,0
17.0,5.0,0.0,1.0,0,1,Baja,Comercio,51546.48468772732,4191.557737759231,0
11.0,21.0,1.0,0.0,0,0,Alta,Servicios,26311.955658140992,2297.0199877482596,0
5.0,10.0,1.0,1.0,0,1,Baja,Servicios,19873.7118804901,5358.876194203304,0
11.0,7.0,0.0,0.0,0,1,Baja,Servicios,19554.14037661572,1576.5488196701217,1
13.0,10.0,0.0,0.0,0,0,,Comercio,11664.422944409052,959.6436843183974,1
6.0,1.0,1.0,1.0,0,0,Alta,Servicios,16602.688703947086,2915.7946721999447,0
11.0,3.0,0.0,1.0,0,0,Media,Servicios,47783.709812317866,4295.330404592824,0
10.0,16.0,0.0,1.0,0,1,Alta,Manufactura,39678.67174996898,3561.0798818691705,1
5.0,5.0,0.0,0.0,0,1,Media,Servicios,29795.529918032746,6573.421490123025,0
12.0,3.0,1.0,1.0,0,0,Media,Servicios,38313.635421238956,2532.883516011289,0
14.0,12.0,0.0,0.0,1,1,Baja,Servicios,53908.60441398722,2845.8845693631197,0
19.0,16.0,0.0,0.0,1,0,Media,Manufactura,75100.33445207818,5392.951139606251,1
19.0,13.0,1.0,0.0,0,0,Media,Servicios,36816.2606195209,2324.006487011768,1
4.0,15.0,0.0,0.0,0,1,Media,Comercio,13355.202513647544,3394.255864799393,0
6.0,4.0,0.0,0.0,0,0,Baja,Comercio,20003.86357837285,5055.372606415373,0
14.0,0.0,0.0,1.0,0,0,Alta,Comercio,33132.55767856541,2213.373241199857,0
14.0,18.0,0.0,0.0,0,1,Baja,Comercio,27049.93782246309,2689.3598250993236,0
14.0,7.0,1.0,1.0,0,1,Alta,Manufactura,28649.132194452905,2138.1892894067087,0
101.0,7.0,0.0,0.0,0,1,Baja,Servicios,83144.44360675807,637.1636017930605,1
14.0,17.0,0.0,,0,1,Media,Servicios,38042.23291360021,4313.068731273094,0
20.0,12.0,0.0,0.0,1,1,Media,Servicios,51524.83522438363,3300.286777268797,0
18.0,12.0,1.0,1.0,0,0,Media,Servicios,24759.95175957815,1334.5584443497214,0
15.0,22.0,1.0,1.0,0,0,Media,Servicios,86680.64707327403,6930.786199741811,0
8.0,5.0,0.0,1.0,1,1,Media,Servicios,,2575.2409771198754,1
16.0,15.0,0.0,1.0,0,1,Media,Comercio,33708.138655705145,2592.020915898829,1
6.0,9.0,1.0,0.0,0,0,Media,Comercio,11688.042106728748,1071.4760313724162,1
9.0,11.0,0.0,0.0,0,1,Media,Servicios,52514.095261929724,4521.784441971802,0
7.0,18.0,1.0,,1,0,Alta,Comercio,32286.923515728013,5891.832622197552,0
10.0,12.0,1.0,0.0,0,1,Baja,Servicios,23086.44948015449,2168.957994305378,0
40.0,12.0,1.0,0.0,0,1,Media,Servicios,74670.31325209531,1966.1724219765922,0
3.0,15.0,0.0,0.0,0,1,Media,Comercio,16508.974504289115,3929.827132196765,0
15.0,7.0,0.0,0.0,0,0,Media,Servicios,19637.9527755701,2077.9474587315385,0
4.0,4.0,1.0,0.0,0,1,Media,Servicios,20158.941207017724,6786.843591442053,1
8.0,3.0,0.0,0.0,0,0,Media,Comercio,10133.695429317482,1204.7272659194018,0
19.0,0.0,0.0,0.0,0,1,Baja,Tecnologia,27587.867017091696,1312.2761280863945,0
10.0,21.0,1.0,0.0,1,1,Baja,Comercio,21445.42405740822,2774.102549538213,1
5.0,2.0,1.0,0.0,0,1,Baja,Servicios,11708.669491792805,3843.9836961565297,0
6.0,8.0,0.0,0.0,0,0,Media,Manufactura,27637.293791839387,5846.520393268186,0
15.0,,0.0,1.0,0,0,Media,Manufactura,53392.406632005644,6126.16537537203,1
6.0,11.0,0.0,0.0,0,1,Alta,Comercio,14490.906721177309,1917.7910492540766,0
11.0,14.0,1.0,0.0,1,1,Media,Manufactura,70313.89167526235,5208.164052440021,0
10.0,14.0,1.0,1.0,0,1,Baja,Comercio,38361.756956192265,2849.7768080148076,0
7.0,6.0,0.0,0.0,0,1,Alta,Servicios,13446.837698396017,2145.288358903827,0
36.0,8.0,0.0,0.0,0,1,Alta,Comercio,34193.2514965475,992.4389783617416,0
15.0,11.0,1.0,1.0,0,0,Media,Comercio,33163.37020943295,2128.479718961541,0
3.0,8.0,0.0,0.0,0,0,Media,Comercio,8788.006607395408,3586.189702866659,1
11.0,19.0,0.0,1.0,0,1,,Comercio,43429.229964995815,5372.6410024378665,0
7.0,12.0,1.0,1.0,0,1,Media,Tecnologia,36034.796743355415,3515.4210209341586,1
17.0,13.0,0.0,0.0,0,0,Alta,Manufactura,30732.41022598797,1557.1565821739525,0
6.0,13.0,1.0,0.0,0,0,Baja,Manufactura,32703.381647251405,6690.943637577727,0
9.0,16.0,0.0,0.0,0,1,Baja,Manufactura,32218.20130088278,3184.7452526085663,0
14.0,10.0,0.0,0.0,1,1,Media,Tecnologia,25586.81980549488,1497.0081039025556,1
17.0,1.0,1.0,0.0,0,1,Media,Servicios,17929.47715279932,1360.5202176408297,0
5.0,11.0,0.0,0.0,0,1,Alta,Servicios,14408.029441368948,2087.511572438785,0
8.0,5.0,1.0,0.0,0,1,Alta,Comercio,16789.917070610467,1946.3231688348137,0
8.0,6.0,0.0,0.0,0,1,Media,Manufactura,19674.14306166893,2669.8564407204303,0
7.0,13.0,0.0,0.0,0,0,Baja,Comercio,17537.100321004335,2170.4912570578467,0
29.0,16.0,0.0,0.0,1,1,Alta,Manufactura,120923.00998766601,5071.553322909986,1
13.0,9.0,0.0,0.0,0,1,Media,Servicios,14881.920141269962,993.0030549770185,0
5.0,11.0,0.0,1.0,1,1,Baja,Servicios,14720.355070630516,4186.84805044051,1
17.0,19.0,0.0,0.0,0,0,Media,Manufactura,33793.92591194593,1926.3579761003516,0
36.0,10.0,0.0,0.0,0,0,Media,Servicios,30768.815055727464,1010.8588080882876,0
19.0,,0.0,,1,1,Media,Servicios,70846.9010704492,4493.303758945356,0
4.0,12.0,1.0,0.0,0,1,Media,Servicios,21280.573848102416,4547.671159479246,0
7.0,0.0,1.0,0.0,1,0,Media,Servicios,30125.566971197826,2575.6255226565877,0
21.0,14.0,1.0,0.0,0,1,Alta,Comercio,20222.362231059884,1053.8557004715146,0
7.0,11.0,0.0,1.0,1,1,,Servicios,24510.12517660896,3565.300144819988,1
13.0,17.0,0.0,0.0,0,1,Media,Comercio,30258.970710119444,2674.600015753949,0
16.0,13.0,1.0,0.0,0,1,Media,Servicios,45339.30510906624,2677.6879806575243,0
6.0,8.0,0.0,0.0,0,1,Media,Manufactura,37121.73494327028,5555.765690524347,0
10.0,2.0,0.0,1.0,0,0,Baja,Servicios,33501.27544015849,5535.138955359811,0
1.0,8.0,1.0,0.0,0,0,Baja,Comercio,9003.376393041395,6230.839945273599,0
5.0,4.0,1.0,0.0,0,1,Media,Comercio,11565.886142859363,2779.0513340508287,0
9.0,6.0,0.0,1.0,0,0,Media,Servicios,17273.353841060027,1662.4460332714061,0
5.0,13.0,0.0,0.0,0,1,Media,Manufactura,14073.117834339799,2587.99611166348,0
27.0,19.0,1.0,1.0,0,1,Baja,Comercio,93343.75524383341,3193.688113633425,0
4.0,11.0,1.0,0.0,0,0,Media,Comercio,15110.421613065146,3090.18743964426,1
8.0,2.0,1.0,1.0,0,0,Media,Servicios,14202.825003912887,2047.880589639343,0
11.0,12.0,1.0,0.0,0,1,Baja,Tecnologia,32213.250181202544,4145.997829134833,1
24.0,16.0,1.0,1.0,0,1,Baja,Manufactura,102285.51487970808,4793.29302033428,1
4.0,5.0,0.0,1.0,0,0,Alta,Servicios,14161.363798732511,3633.0355374227197,0
20.0,8.0,0.0,0.0,0,0,Alta,Servicios,26836.359810632814,1048.557362573205,0
10.0,9.0,1.0,0.0,1,0,,Manufactura,38749.18485495796,4409.366123849032,1
6.0,4.0,1.0,0.0,1,1,Media,Comercio,37854.356037269165,10816.513550626225,0
13.0,13.0,1.0,0.0,0,1,Media,Manufactura,36610.72845518498,2560.5403520414766,1
11.0,8.0,0.0,0.0,0,1,,Comercio,15765.679583093803,1304.662297612,0
7.0,12.0,0.0,0.0,0,1,Media,Comercio,12697.730853463825,1576.5530859707228,0
10.0,4.0,1.0,0.0,0,0,Media,Servicios,21551.608010667143,1906.9627246060925,1
8.0,6.0,,0.0,0,1,Baja,Servicios,10638.418475889712,669.4528133844801,0
11.0,13.0,1.0,0.0,0,1,Media,Comercio,25493.97698910263,2564.6084128827397,1
15.0,7.0,1.0,0.0,0,0,Alta,Tecnologia,24315.756777771076,1312.1753363276146,0
26.0,19.0,1.0,0.0,0,1,Media,Servicios,30857.819867980255,793.5235036994088,0
5.0,7.0,1.0,0.0,0,1,Media,Comercio,12047.044806237174,2908.620636012143,0
36.0,10.0,1.0,0.0,1,0,Baja,Comercio,78384.774722114,1661.309794052205,1
3.0,15.0,0.0,0.0,0,0,Media,Comercio,11651.742408737467,3568.610055100648,0
9.0,0.0,,0.0,1,0,Media,Manufactura,24392.908113409183,3910.5516829311946,0
14.0,0.0,0.0,0.0,1,1,Media,Manufactura,31465.571142804103,1580.1704000852467,0
12.0,0.0,0.0,0.0,0,0,Alta,Servicios,15110.449485656294,858.4132217211675,0
,17.0,1.0,1.0,0,0,Baja,Tecnologia,57222.05871651725,8743.896064215447,1
9.0,6.0,0.0,0.0,0,1,Media,Manufactura,21112.530689721254,3126.8121384587785,0
7.0,24.0,0.0,1.0,1,1,Alta,Manufactura,21705.44127481173,2091.8888223889003,1
7.0,6.0,0.0,1.0,1,0,Media,Comercio,,6174.916386667996,1
17.0,10.0,0.0,1.0,0,1,,Manufactura,52539.65834234152,3573.7119673030224,0
12.0,18.0,0.0,1.0,0,0,Media,Servicios,24550.397899875818,1222.6630297354457,1
7.0,21.0,0.0,0.0,0,1,Alta,Servicios,12369.6633072113,2157.5259095397696,0
